Sender	Ort	Land	Bitrate	Aktualisierung	Adresse
Radio Brocken	Halle (Saale)	Deutschland	0		http://stream.telvi.de:8000/radiobrocken
Radio Chemnitz	Chemnitz	Deutschland	0		mms://stream.green.ch/RadioChemnitz
Radio Corax	Halle	Deutschland	112	09.10.16	http://streaming.fueralle.org:8000/corax.mp3
Radio Cottbus 94.5	Cottbus	Deutschland	0		http://stream.telvi.de:8000/radio_cottbus
Radio Darmstadt	Darmstadt	Deutschland	0		http://livestream.radiodarmstadt.de:8000
Radio Dresden	Dresden	Deutschland	0		mms://stream.green.ch/RadioDresden
Radio Dreyeckland	Freiburg	Deutschland	0		http://85.214.49.179:8000/rdl
Radio Eviva	Brunnen	Schweiz	0		http://dms-cl-022.skypro-media.net/radioeviva-128
Radio F.R.E.I.	Erfurt	Deutschland	96	09.10.16	http://streaming.fueralle.org:8000/Radio-F.R.E.I
Radio Fantasy 93.4 FM	Augsburg	Deutschland	0		http://stream.fantasy.de:8000/radiofantasy.mp3
Radio Flensburg	Flensburg	Deutschland	0		http://server4.digital-webstream.de:10885
Radio Flora	Hannover	Deutschland	128	09.10.16	http://radioflora.de/stream/live.mp3
Radio Free FM	Ulm	Deutschland	0		http://stream.lauschangriff.org:8100
Radio FreeQuenns	Liezen	Österreich	0		http://www.freequenns.at:8000/rfhigh
Radio Freirad	Innsbruck	Österreich	96	09.10.16	http://stream.freirad.at:8002/live.ogg
Radio fresh80s	Hamburg	Deutschland	0		http://89.149.217.93:8010
Radio FRO	Linz	Österreich	0		http://www.fro.at:8008/fro-56
Radio Gong 96.3	München	Deutschland	0		http://radiator.nci.de:8000/high_q
Radio Gütersloh	Gütersloh	Deutschland	128	21.05.17	http://edge.live.mp3.mdn.newmedia.nacamar.net/radioguetersloh/livestream.mp3
Radio Hazzard of Darkness	Bochum	Deutschland	0		http://radio.hazzardofdarkness.com:8000
Radio Helsinki	Graz	Österreich	160	09.10.16	http://live.helsinki.at:8088/live160.ogg
Radio Hitwelle Landkreis Erding	Erding	Deutschland	0		mms://stream.hitwelle.de/hitwelle
Radio im Internet	Ober-Mörlen	Deutschland	0		http://radioiminternet.ham-radio-op.net:8602
Radio Jade	Hameln	Deutschland	192	09.10.16	http://streaming.radiojade.de:8000
Radio Lausitz	Görlitz	Deutschland	0		http://stream.green.ch/RadioLausitz
Radio Leipzig	Leipzig	Deutschland	0		mms://stream.green.ch/RadioLeipzig
Radio Lora	Zürich	Schweiz	0		http://193.192.228.134:8000
Radio LoTTe	Weimar	Deutschland	0		http://fra.radiostream.de:36315
Radio Moonlight	Wien	Österreich	0		http://streamplus9.ameus.de:17806
Radio Mundus	Hannover	Deutschland	0		http://stream.radiomundus.de:7000
Radio Oberkrain	Wangen	Deutschland	0		http://89.149.226.229
Radio Okerwelle	Braunschweig	Deutschland	0		http://streamplus25.leonex.de
Radio Paloma	Berlin	Deutschland	0		http://sc1.netstreamer.net:8140
Radio RaBe	Bern	Schweiz	0		http://wma.rabe.ch
Radio Rüsselsheim	Rüsselsheim	Deutschland	0		http://stream.mpango.de:8000
Radio Salü	Saarbrücken	Deutschland	0		http://62.27.44.59/radiosalue/livestream96s.mp3
Radio SAW	Magdeburg	Deutschland	0		mms://62.27.87.43/radiosaw$livestream.wma
Radio SAW 70er	Magdeburg	Deutschland	0		http://stream.saw-musikwelt.de:8000/saw70er
Radio SAW 80er	Magdeburg	Deutschland	0		http://stream.saw-musikwelt.de:8000/saw80er
Radio SAW 90er	Magdeburg	Deutschland	0		http://stream.saw-musikwelt.de:8000/saw90er
Radio SAW Neuheiten	Magdeburg	Deutschland	0		http://stream.saw-musikwelt.de:8000/sawneuheiten
Radio SAW Rock	Magdeburg	Deutschland	0		http://stream.saw-musikwelt.de:8000/sawrock
Radio SAW Schlager	Magdeburg	Deutschland	0		http://stream.saw-musikwelt.de:8000/sawschlager
Radio Schwarze Welle	Gelsenkirchen	Deutschland	0		http://85.25.120.73:7500
Radio Seefunk	Konstanz	Deutschland	128	09.10.16	http://webradio.radio-seefunk.de:8000
Radio St(H)örfunk	Schwäbisch Hall	Deutschland	112	09.10.16	http://stream.sthoerfunk.de:7000/sthoerfunk.ogg
Radio Stephansdom	Wien	Österreich	0		http://srvhost24.serverhosting.apa.net:8000/rsdstream128
Radio Swiss Classic	Bern	Schweiz	128	09.10.16	http://stream-3.ssatr.ch:80/rsc/mp3
Radio Swiss Jazz	Bern	Schweiz	128	09.10.16	http://stream-1.ssatr.ch:80/rsj/mp3
Radio Swiss Pop	Bern	Schweiz	128	09.10.16	http://stream-2.ssatr.ch/rsp/mp3
Radio T	Chemnitz	Deutschland	0		http://streaming.fueralle.org:8000/radiot.ogg
Radio TEDDY 106.8	Potsdam	Deutschland	0		http://c1.netstreamer.net:9000
Radio Ton Region Main-Tauber	Aalen	Deutschland	64	09.10.16	http://live.radio-ton.de/live-mgh
Radio Ton Baden Württemberg	Aalen	Deutschland	64	09.10.16	http://live.radio-ton.de/live-na
Radio Ton Ostwürttemberg	Aalen	Deutschland	64	09.10.16	http://live.radio-ton.de/live-owb
Radio Tonkuhle	Hildesheim	Deutschland	96	09.10.16	http://stream.tonkuhle.de:8000/hifi.ogg
Radio UnArt	Dortmund	Deutschland	0		http://steven-dark.com:8000
Radio Unerhört Marburg	Marburg	Deutschland	128	09.10.16	http://stream.radio-rum.de:8000/rum.mp3
Radio X	Frankfurt / Main	Deutschland	0		http://radiox.mapsolute.com:8000
RADIO ZÜRISEE	Rapperswil	Schweiz	128	09.10.16	http://www.radio.ch/media/stream/radiozuerisee128k.m3u
Radio ZuSa	Uelzen	Deutschland	0		http://stream.radio-zusa.net:8000/zusa-hifi.ogg
Radio-Z	Nürnberg	Deutschland	0		http://www.radio-z.net:8000/Radio-Z
Radio4Humans	Romanshorn	Schweiz	0		http://s2.global-streaming.net:6470
RadioCrazy Classical	Küsnacht	Schweiz	128	09.10.16	http://stream2137.init7.net
RadioCrazy Jazz	Küsnacht	Schweiz	128	09.10.16	http://stream2138.init7.net:80
RadioCrazy Modern Jazz	Küsnacht	Schweiz	0		http://stream2140.init7.net:80
RadioCrazy Opera	Küsnacht	Schweiz	0		http://stream2139.init7.net:80
Radiofabrik	Salzburg	Österreich	0		http://master.radiofabrik.at:8000/rf_high.mp3
Ramasuri	Weiden	Deutschland	0		http://ramasuri.blm.netlantic.net:80/live_ramasuri.mp3
RauteMusik #MUSIK.HOUSE	Aachen	Deutschland	192	09.10.16	http://House-high.RauteMusik.FM
RauteMusik #MUSIK.TECHHOUSE	Aachen	Deutschland	192	09.10.16	http://Progressive-high.RauteMusik.FM
RauteMusik #MUSIK.HARDER	Aachen	Deutschland	192	09.10.16	http://HardeR-high.RauteMusik.FM
RauteMusik #MUSIK.SCHLAGER	Aachen	Deutschland	0		http://www.SchlagerRadio.FM
RauteMusik #MUSIK.BIGCITYBEATS	Aachen	Deutschland	192	09.10.16	http://BCB-high.RauteMusik.FM
RauteMusik #MUSIK.DRUMSTEP	Aachen	Deutschland	192	09.10.16	http://DrumStep-high.RauteMusik.FM
RauteMusik #MUSIK.TRANCE	Aachen	Deutschland	192	09.10.16	http://Trance-high.RauteMusik.FM
RauteMusik #ChartHits-Top40	Aachen	Deutschland	192	09.10.16	http://Christmas-high.RauteMusik.FM
RauteMusik #MUSIK.ORIENTAL	Aachen	Deutschland	192	09.10.16	http://Oriental-high.RauteMusik.FM
RauteMusik #Musik.DeutschRap	Aachen	Deutschland	192	09.10.16	http://Deutschrap-high.RauteMusik.FM
RBB Kulturradio	Berlin / Potsdam	Deutschland	128	09.10.16	http://rbb-mp3-kulturradio-m.akacast.akamaistream.net/7/935/292095/v1/gnl.akacast.akamaistream.net/rbb_mp3_kulturradio_m
